,Município,ano,ginibr
231,150510 Óbidos,1991,"0,5064"
232,150520 Oeiras do Pará,1991,"0,4831"
233,150530 Oriximiná,1991,"0,6019"
234,150540 Ourém,1991,"0,4642"
235,150543 Ourilândia do Norte,1991,"0,6035"
236,150548 Pacajá,1991,"0,6234"
237,150549 Palestina do Pará,1991,
238,150550 Paragominas,1991,"0,5675"
239,150553 Parauapebas,1991,"0,6027"
240,150555 Pau D'Arco,1991,
241,150560 Peixe-Boi,1991,"0,5272"
242,150563 Piçarra,1991,
243,150565 Placas,1991,
244,150570 Ponta de Pedras,1991,"0,4605"
245,150580 Portel,1991,"0,4834"
246,150590 Porto de Moz,1991,"0,5222"
247,150600 Prainha,1991,"0,4325"
248,150610 Primavera,1991,"0,6165"
249,150611 Quatipuru,1991,
250,150613 Redenção,1991,"0,5563"
251,150616 Rio Maria,1991,"0,5941"
252,150618 Rondon do Pará,1991,"0,535"
253,150619 Rurópolis,1991,"0,5558"
254,150620 Salinópolis,1991,"0,4669"
255,150630 Salvaterra,1991,"0,5573"
256,150635 Santa Bárbara do Pará,1991,
257,150640 Santa Cruz do Arari,1991,"0,5694"
258,150650 Santa Isabel do Pará,1991,"0,5719"
259,150655 Santa Luzia do Pará,1991,
260,150658 Santa Maria das Barreiras,1991,"0,6363"
261,150660 Santa Maria do Pará,1991,"0,6216"
262,150670 Santana do Araguaia,1991,"0,6258"
263,150680 Santarém,1991,"0,5703"
264,150690 Santarém Novo,1991,"0,6166"
265,150700 Santo Antônio do Tauá,1991,"0,534"
266,150710 São Caetano de Odivelas,1991,"0,4112"
267,150715 São Domingos do Araguaia,1991,
268,150720 São Domingos do Capim,1991,"0,5104"
269,150730 São Félix do Xingu,1991,"0,5512"
270,150740 São Francisco do Pará,1991,"0,5563"
271,150745 São Geraldo do Araguaia,1991,"0,458"
272,150746 São João da Ponta,1991,
273,150747 São João de Pirabas,1991,"0,5285"
274,150750 São João do Araguaia,1991,"0,5392"
275,150760 São Miguel do Guamá,1991,"0,5044"
276,150770 São Sebastião da Boa Vista,1991,"0,407"
277,150775 Sapucaia,1991,
278,150780 Senador José Porfírio,1991,"0,5364"
279,150790 Soure,1991,"0,6312"
280,150795 Tailândia,1991,"0,6083"
281,150796 Terra Alta,1991,
282,150797 Terra Santa,1991,
283,150800 Tomé-Açu,1991,"0,5404"
284,150803 Tracuateua,1991,
285,150805 Trairão,1991,
286,150808 Tucumã,1991,"0,5657"
